model_family,k,mean_cosine_silhouette,median_cosine_silhouette,best_fit_cosine_silhouette,worst_fit_cosine_silhouette,mean_cosine_loss,best_cosine_loss,best_seed,best_solution_silhouette,best_solution_minimum_cluster_size,best_solution_maximum_cluster_size,best_solution_size_ratio,best_solution_size_cv,median_pairwise_ari,mean_pairwise_ari,minimum_pairwise_ari,maximum_pairwise_ari,all_seeds_converged,nonpathological_minimum_size,within_silhouette_tie_band,stable_reference_ari,selected_primary_k,n_initializations,n_pairwise_ari
GPT-4o-mini,4,0.4518911201034206,0.4536505268294127,0.4859205049235267,0.3587251527750087,14.937080377340315,14.710707008838654,19,0.4661319111769349,46,98,2.130434782608696,0.2769677077045465,0.7534932472320277,0.7763172979144596,0.4289780111927522,1.0,True,True,False,False,False,30,435
GPT-4o-mini,5,0.4515460037721986,0.4611687129353377,0.4808608571118469,0.402238128124464,13.65022714138031,13.323330461978912,6,0.4709167273908012,24,93,3.875,0.4224268509984236,0.7855531152440296,0.7915528021639866,0.5774683441119626,1.0,True,True,False,False,False,30,435
GPT-4o-mini,6,0.4372321449302788,0.450347288085421,0.4767687639335415,0.3455720502656316,12.889855899413426,12.196924924850464,18,0.4502952490278356,24,79,3.2916666666666665,0.4255192905928786,0.8048928292162347,0.7979909089532241,0.5420829918405404,1.0,True,True,False,False,False,30,435
GPT-4o-mini,7,0.4264094467882035,0.4362655788449242,0.4728356906771309,0.3269900841316915,12.105313970645268,11.700976610183716,8,0.4498107004202091,10,79,7.9,0.5550375362681939,0.8268937319533266,0.8232070258462769,0.589745019201322,0.9875490924530304,True,True,False,False,False,30,435
GPT-4o-mini,8,0.4153129513406002,0.4193323295446139,0.4611010461590586,0.3070914140634607,11.541403692960738,11.163852751255035,10,0.4561908999786447,6,79,13.166666666666666,0.7021237624363512,0.8264524151540358,0.8201263137216181,0.5869048570241268,0.9672138935438198,True,True,False,False,False,30,435
GPT-4o-mini,9,0.4073490137157618,0.4120580371674188,0.4510698047709578,0.3305395114704975,11.010887257258098,10.7359259724617,28,0.4405617942603671,7,79,11.285714285714286,0.74444610281739,0.8451509442609002,0.8448643606412247,0.685323062377114,0.96834521713866,True,True,False,False,False,30,435
GPT-4o-mini,10,0.3938437614091482,0.3995757766214379,0.4430609593771434,0.3262507989245521,10.653949981927871,10.385702848434448,28,0.3996244925042572,6,79,13.166666666666666,0.7660867371837793,0.8397953244939774,0.8336643006780825,0.6562530560083224,0.9891165119832052,True,True,False,False,False,30,435
Phi-4,2,0.5675724963746929,0.5675724963746928,0.5675724963746928,0.5675724963746928,24.06423282623291,24.06423282623291,0,0.5675724963746928,144,156,1.0833333333333333,0.04,1.0,1.0,1.0,1.0,True,True,True,True,True,30,435
Phi-4,3,0.3860056539896848,0.394771815900258,0.4578400424954416,0.3111818560640256,22.90435886581739,22.803378343582157,28,0.4040129337585003,25,138,5.52,0.5303457991411515,0.6944563240717719,0.6985684008129295,0.4595505941077577,1.0,True,True,False,False,False,30,435
Phi-4,4,0.2787823634608142,0.2933454974211391,0.4119400490126615,0.151193891481067,21.921086889505386,21.688912987709045,4,0.3441822850328754,18,147,8.166666666666666,0.6162971866090435,0.570776013166146,0.5941184616388483,0.3335521840342018,0.9761888209288678,True,True,False,False,False,30,435
Phi-4,5,0.2159880282886207,0.1918135118105727,0.394055273685822,0.1302815374956088,20.98209805091222,20.67392998933792,8,0.180040281170018,18,92,5.111111111111111,0.4070217029430577,0.5541174554487996,0.5644386325576722,0.2222286793678989,0.9503851303761396,True,True,False,False,False,30,435
Phi-4,6,0.1938357459505666,0.1767015045006917,0.336189798337677,0.1332915364906579,20.184171118338902,19.72812980413437,28,0.1919034395484711,10,88,8.8,0.5377731863899501,0.5266859848328653,0.5395581588825237,0.227774347915826,0.9046309921196388,True,True,False,False,False,30,435
Phi-4,7,0.1803724259154615,0.172427959027263,0.3309860660779907,0.1433147332070395,19.52351295351982,19.026772916316983,9,0.177973405508778,10,87,8.7,0.6631909394904474,0.5136957583807522,0.525137592323781,0.2713245632486592,0.8396588119443663,True,True,False,False,False,30,435
Phi-4,8,0.1783546818260921,0.1775798573191575,0.2066998224709692,0.1268310425850441,18.78393307328224,18.253242075443268,17,0.2037336058370628,10,73,7.3,0.5141551862575692,0.5748365679375514,0.5773905465583294,0.3562233364576032,0.8658840549044287,True,True,False,False,False,30,435
Phi-4,9,0.1837218861843354,0.1843415329403333,0.2110746636677923,0.1485846614171384,18.193822038173675,17.740582704544067,20,0.2028408095177153,8,53,6.625,0.4256759330758553,0.5646352540949127,0.5697413358612158,0.3782956229116437,0.825780091214446,True,True,False,False,False,30,435
Phi-4,10,0.1855906086024594,0.186299077543179,0.2166073563509535,0.1546585325358493,17.655242915948232,17.206406354904175,15,0.2166073563509535,10,55,5.5,0.4830458915396479,0.5551439248768401,0.5536147553017282,0.3759779008615528,0.8552601902504389,True,True,False,False,False,30,435
GPT-5.6 Terra,2,0.3511957656193677,0.3442059584858989,0.3713316065903085,0.2641954010081793,24.20309949318568,23.9197296500206,0,0.3713316065903085,100,200,2.0,0.3333333333333333,0.0975855130784708,0.4800687716682915,0.0288018185038107,1.0,True,True,False,False,False,30,435
GPT-5.6 Terra,3,0.4530695790636781,0.4530695790636781,0.4530695790636781,0.4530695790636781,18.081047475337986,18.081047475337986,0,0.4530695790636781,100,100,1.0,0.0,1.0,1.0,1.0,1.0,True,True,True,True,True,30,435
GPT-5.6 Terra,4,0.4095590056078851,0.4088872859564387,0.4339545067197642,0.3275580818141132,16.807846248149872,16.339783549308777,3,0.4339545067197642,44,100,2.272727272727273,0.3380992622161591,0.8059649963709179,0.8350906738245667,0.7259802063652644,1.0,True,True,False,False,False,30,435
GPT-5.6 Terra,5,0.3840046738335225,0.3922915640149616,0.4268977520520132,0.2965631560957384,15.603902707497278,15.105067431926727,29,0.3934428582761512,34,100,2.9411764705882355,0.3788872596902086,0.7998224439822338,0.8048634641547792,0.6081308248553368,1.0,True,True,False,False,False,30,435
GPT-5.6 Terra,6,0.3698613220053917,0.3731235112625616,0.4049467552730875,0.2829941261344109,14.723687473932902,14.323025345802307,3,0.4049467552730875,29,100,3.4482758620689653,0.4784697830932831,0.8180273287922172,0.7982489095568318,0.4456510407774388,1.0,True,True,False,False,False,30,435
GPT-5.6 Terra,7,0.3565926414316928,0.364862293422198,0.403619197134285,0.2530513596102933,14.053137157360712,13.56711369752884,15,0.3836548363887116,13,87,6.6923076923076925,0.5077619739821232,0.7843934356413123,0.7856347087580536,0.5340700106456222,0.9875510316549866,True,True,False,False,False,30,435
GPT-5.6 Terra,8,0.3676093578722649,0.3778544726069195,0.4031764693122581,0.2268159882260526,13.347589439153673,13.029739916324615,17,0.3784626911482632,11,86,7.818181818181818,0.5796550698475775,0.8228004384828981,0.8120363532218541,0.5465379244545329,0.9728940665276736,True,True,False,False,False,30,435
