final_row_index_0_based,interval_id,model_family,run_version,interval_number,start_round,end_round,family_row_index_0_based,cluster,cosine_similarity_to_assigned_centroid,cosine_distance_to_assigned_centroid
144,DeepSeek-V3__V2__I045,DeepSeek-V3,V2,45,441,450,144,1,0.9102154187479994,0.0897845812520006
145,DeepSeek-V3__V2__I046,DeepSeek-V3,V2,46,451,460,145,1,0.9145974867247236,0.0854025132752762
146,DeepSeek-V3__V2__I047,DeepSeek-V3,V2,47,461,470,146,1,0.922516005726712,0.0774839942732878
147,DeepSeek-V3__V2__I048,DeepSeek-V3,V2,48,471,480,147,3,0.9012541871772776,0.0987458128227224
148,DeepSeek-V3__V2__I049,DeepSeek-V3,V2,49,481,490,148,3,0.9115012108045212,0.0884987891954789
149,DeepSeek-V3__V2__I050,DeepSeek-V3,V2,50,491,500,149,1,0.9344552087655656,0.0655447912344343
150,DeepSeek-V3__V2__I051,DeepSeek-V3,V2,51,501,510,150,3,0.9049774252009796,0.0950225747990203
151,DeepSeek-V3__V2__I052,DeepSeek-V3,V2,52,511,520,151,1,0.9434964130679402,0.0565035869320598
152,DeepSeek-V3__V2__I053,DeepSeek-V3,V2,53,521,530,152,3,0.9176503721706852,0.0823496278293146
153,DeepSeek-V3__V2__I054,DeepSeek-V3,V2,54,531,540,153,1,0.935822026504664,0.0641779734953359
154,DeepSeek-V3__V2__I055,DeepSeek-V3,V2,55,541,550,154,3,0.8927662750115228,0.1072337249884771
155,DeepSeek-V3__V2__I056,DeepSeek-V3,V2,56,551,560,155,3,0.8965915275367579,0.1034084724632421
156,DeepSeek-V3__V2__I057,DeepSeek-V3,V2,57,561,570,156,3,0.8932651869558328,0.1067348130441672
157,DeepSeek-V3__V2__I058,DeepSeek-V3,V2,58,571,580,157,3,0.8942111816990816,0.1057888183009183
158,DeepSeek-V3__V2__I059,DeepSeek-V3,V2,59,581,590,158,3,0.9400917008313636,0.0599082991686363
159,DeepSeek-V3__V2__I060,DeepSeek-V3,V2,60,591,600,159,3,0.9369181781366916,0.0630818218633084
160,DeepSeek-V3__V2__I061,DeepSeek-V3,V2,61,601,610,160,3,0.9198167122139482,0.0801832877860517
161,DeepSeek-V3__V2__I062,DeepSeek-V3,V2,62,611,620,161,3,0.8811532965694863,0.1188467034305137
